order_id,order_date,order_value,category,payment_method,customer_age_days,past_orders,past_return_rate,address_mismatch,delivery_days,orders_last_24h,discount_pct,returned
R02316,2025-01-01,2634,Electronics,COD,790,10,0.212,0,1,1,20,0
R04627,2025-01-01,1732,Books,Prepaid,122,5,0.253,0,12,1,70,0
R01237,2025-01-01,667,Electronics,Prepaid,323,3,0.119,0,2,1,0,0
R00846,2025-01-01,953,Electronics,Prepaid,874,13,0.23,0,9,3,10,0
R04691,2025-01-01,515,Clothing,COD,620,9,0.339,0,12,1,5,1
R02259,2025-01-01,1018,Electronics,Prepaid,964,7,0.138,0,3,1,70,0
R01913,2025-01-01,1510,Electronics,Prepaid,157,8,0.314,0,8,1,0,1
R02628,2025-01-01,2153,Beauty,Prepaid,641,9,0.248,0,3,3,0,1
R03234,2025-01-01,701,Clothing,COD,494,4,0.194,1,5,2,20,0
R03217,2025-01-01,3310,Electronics,COD,266,4,0.102,1,9,1,10,0
R03191,2025-01-01,2413,Beauty,Prepaid,156,5,0.213,0,5,2,0,0
R01949,2025-01-01,704,Home,Prepaid,671,6,0.658,1,7,1,0,1
R05083,2025-01-01,431,Clothing,COD,533,5,0.158,1,5,2,10,1
R01996,2025-01-01,1052,Clothing,Prepaid,911,5,0.15,1,12,2,30,0
R00901,2025-01-01,2090,Clothing,COD,598,6,0.151,0,4,1,10,0
R02646,2025-01-01,3156,Clothing,COD,547,1,0.237,0,9,2,0,0
R05170,2025-01-01,1142,Electronics,Prepaid,206,9,0.276,0,11,1,20,0
R05462,2025-01-01,695,Home,Prepaid,817,7,0.046,0,8,2,0,0
R02789,2025-01-01,2290,Beauty,Prepaid,190,6,0.486,1,5,1,0,0
R05297,2025-01-01,662,Home,COD,739,8,0.301,0,10,1,0,0
R04598,2025-01-01,189,Home,Prepaid,359,9,0.127,1,8,4,10,0
R02442,2025-01-01,347,Beauty,COD,69,3,0.121,0,3,1,0,0
R00845,2025-01-01,2031,Books,COD,248,6,0.159,0,5,1,20,0
R04111,2025-01-01,413,Books,COD,70,3,0.027,0,11,1,10,0
R01294,2025-01-01,461,Home,COD,991,3,0.61,0,7,1,10,0
R01550,2025-01-01,557,Clothing,Prepaid,270,8,0.411,0,9,1,0,0
R01739,2025-01-01,1460,Clothing,Prepaid,293,3,0.224,0,3,2,0,1
R05760,2025-01-01,1394,Clothing,COD,345,6,0.234,0,1,1,70,1
R00381,2025-01-01,1297,Clothing,Prepaid,532,4,0.372,1,10,4,0,1
R00773,2025-01-01,2080,Home,Prepaid,901,1,0.297,0,12,2,20,0
R01409,2025-01-01,555,Beauty,Prepaid,798,7,0.011,0,1,2,10,0
R01622,2025-01-01,1079,Books,COD,597,6,0.093,1,8,1,0,0
R01488,2025-01-01,877,Clothing,COD,136,4,0.108,0,11,2,10,0
R03674,2025-01-01,5582,Electronics,Prepaid,622,5,0.596,0,5,2,10,0
R01482,2025-01-01,259,Home,COD,620,8,0.529,0,7,2,10,1
R00303,2025-01-02,482,Clothing,COD,500,9,0.365,0,11,2,0,1
R01279,2025-01-02,1334,Clothing,COD,851,3,0.09,0,7,1,5,0
R04131,2025-01-02,389,Electronics,Prepaid,864,4,0.013,0,9,3,20,0
R00465,2025-01-02,3924,Beauty,Prepaid,893,5,0.266,0,1,3,20,0
R04055,2025-01-02,869,Clothing,COD,6,10,0.033,0,6,2,30,0
R01532,2025-01-02,992,Clothing,COD,455,5,0.153,0,3,2,5,0
R03822,2025-01-02,1497,Books,COD,450,3,0.151,0,3,1,0,0
R04885,2025-01-02,1309,Clothing,Prepaid,85,5,0.518,0,5,1,20,0
R03799,2025-01-02,3406,Electronics,Prepaid,301,5,0.034,0,6,1,20,0
R03725,2025-01-02,1331,Electronics,COD,368,9,0.247,0,7,1,30,0
R04768,2025-01-02,1436,Electronics,COD,688,8,0.133,0,11,1,0,0
R01070,2025-01-02,2851,Clothing,COD,823,2,0.108,0,12,1,10,1
R03399,2025-01-02,978,Electronics,COD,840,6,0.102,0,9,1,0,0
R00575,2025-01-02,1067,Clothing,COD,639,8,0.073,0,2,1,0,1
R04361,2025-01-02,2106,Electronics,COD,169,6,0.217,0,5,1,0,0
R01807,2025-01-02,758,Electronics,COD,297,7,0.058,0,12,1,5,0
R04689,2025-01-02,206,Electronics,COD,613,6,0.117,0,10,1,0,0
R01175,2025-01-02,349,Beauty,COD,585,3,0.153,0,5,2,30,0
R01763,2025-01-02,330,Books,COD,175,8,0.226,0,8,1,0,0
R00104,2025-01-02,1520,Beauty,Prepaid,609,9,0.153,0,7,1,50,0
R01190,2025-01-02,1721,Electronics,COD,715,4,0.294,0,3,1,30,0
R04788,2025-01-02,425,Beauty,COD,958,5,0.232,0,3,3,0,0
R00707,2025-01-02,2190,Clothing,Prepaid,71,9,0.045,0,9,1,20,0
R05844,2025-01-02,1061,Home,Prepaid,6,8,0.042,0,1,1,5,1
R02401,2025-01-02,233,Home,Prepaid,250,9,0.394,0,1,1,30,0
R05603,2025-01-02,1855,Clothing,Prepaid,682,10,0.492,0,10,2,10,0
R05719,2025-01-02,1104,Electronics,COD,614,6,0.03,1,1,3,0,0
R02443,2025-01-02,2636,Beauty,COD,688,9,0.244,0,7,2,10,0
R02202,2025-01-02,303,Clothing,COD,330,2,0.134,0,9,2,10,0
R00839,2025-01-03,1164,Beauty,Prepaid,73,5,0.09,0,2,1,5,0
R05078,2025-01-03,532,Clothing,COD,220,5,0.172,0,12,1,0,0
R04393,2025-01-03,2170,Clothing,Prepaid,308,5,0.091,0,11,1,20,0
R04230,2025-01-03,916,Books,Prepaid,681,3,0.186,0,8,6,5,0
R01682,2025-01-03,2942,Clothing,Prepaid,138,9,0.028,0,5,1,0,0
R05880,2025-01-03,461,Electronics,Prepaid,333,5,0.162,1,6,1,70,1
R00801,2025-01-03,2184,Clothing,COD,610,8,0.239,1,6,2,10,0
R05142,2025-01-03,1934,Clothing,COD,897,5,0.077,0,2,3,0,1
R00790,2025-01-03,385,Home,Prepaid,310,6,0.19,0,11,2,10,0
R01121,2025-01-03,1675,Books,COD,704,4,0.43,0,4,1,0,0
R04104,2025-01-03,1054,Clothing,Prepaid,815,8,0.324,1,1,1,0,0
R00410,2025-01-03,1245,Clothing,Prepaid,589,6,0.514,0,10,1,0,1
R00889,2025-01-03,1234,Books,COD,782,2,0.242,0,4,1,10,0
R05916,2025-01-03,552,Clothing,COD,761,5,0.013,0,4,1,10,0
R05438,2025-01-03,1280,Beauty,Prepaid,713,7,0.33,0,7,1,5,0
R03136,2025-01-03,1333,Clothing,Prepaid,667,3,0.248,0,5,2,70,1
R03904,2025-01-03,3230,Clothing,Prepaid,611,4,0.215,0,3,1,20,0
R03103,2025-01-03,1396,Beauty,COD,286,7,0.156,0,1,2,20,0
R04046,2025-01-03,2146,Books,Prepaid,746,10,0.103,0,7,3,5,0
R04931,2025-01-03,314,Clothing,Prepaid,171,5,0.227,0,2,2,5,0
R01038,2025-01-03,1530,Beauty,Prepaid,190,11,0.274,1,6,1,0,0
R05068,2025-01-03,4273,Electronics,Prepaid,932,1,0.006,0,2,1,5,0
R01652,2025-01-04,813,Beauty,COD,337,4,0.24,0,6,2,5,0
R00540,2025-01-04,163,Clothing,COD,656,5,0.385,0,4,2,50,1
R05745,2025-01-04,867,Home,Prepaid,121,8,0.133,1,12,2,20,0
R00478,2025-01-04,1488,Books,Prepaid,255,12,0.121,0,9,1,5,0
R04505,2025-01-04,3380,Electronics,COD,629,6,0.116,0,5,2,30,0
R00415,2025-01-04,1282,Clothing,Prepaid,175,9,0.55,0,5,1,70,1
R01366,2025-01-04,1376,Clothing,COD,453,2,0.187,0,2,1,0,0
R05746,2025-01-04,3109,Electronics,Prepaid,262,13,0.119,0,5,1,5,0
R03505,2025-01-04,1700,Beauty,Prepaid,408,7,0.041,0,10,1,50,0
R00300,2025-01-04,539,Clothing,COD,401,7,0.126,0,2,1,5,0
R05035,2025-01-04,1735,Clothing,Prepaid,821,5,0.225,0,12,2,10,0
R04563,2025-01-04,659,Clothing,Prepaid,55,7,0.158,0,1,1,0,0
R03788,2025-01-04,591,Home,Prepaid,221,8,0.612,0,9,2,30,1
R01167,2025-01-04,2483,Clothing,Prepaid,956,6,0.091,1,9,1,0,0
R01529,2025-01-04,1736,Clothing,COD,28,9,0.388,0,5,1,0,0
R05411,2025-01-04,4617,Home,COD,515,6,0.059,1,7,2,0,0
R01594,2025-01-04,941,Clothing,COD,529,5,0.139,0,11,3,5,0
R02171,2025-01-04,2506,Home,COD,28,7,0.145,0,6,3,5,1
R04062,2025-01-04,1521,Clothing,Prepaid,349,8,0.191,0,2,1,50,1
R05621,2025-01-04,1795,Books,Prepaid,386,5,0.149,0,7,1,10,0
R03898,2025-01-04,3542,Clothing,Prepaid,853,4,0.191,1,3,2,20,0
R02090,2025-01-04,1363,Clothing,Prepaid,211,6,0.111,0,7,1,0,0
R04117,2025-01-04,335,Electronics,Prepaid,58,10,0.256,0,11,2,20,0
R00233,2025-01-04,2129,Electronics,Prepaid,263,6,0.057,0,12,2,10,0
R05897,2025-01-04,524,Clothing,COD,962,11,0.092,0,1,1,0,0
R03858,2025-01-04,667,Clothing,COD,984,6,0.21,0,4,1,70,0
R03804,2025-01-04,1074,Electronics,COD,805,5,0.372,0,12,1,20,0
R04527,2025-01-04,1326,Beauty,Prepaid,63,6,0.131,0,1,1,10,0
R02975,2025-01-04,311,Books,COD,94,5,0.14,0,3,3,0,1
R01624,2025-01-04,579,Beauty,Prepaid,164,5,0.545,0,9,1,50,0
R03442,2025-01-05,758,Books,Prepaid,634,9,0.618,0,10,1,0,0
R00272,2025-01-05,1304,Home,Prepaid,962,6,0.122,0,4,1,5,0
R03486,2025-01-05,1935,Beauty,Prepaid,328,3,0.27,0,7,2,10,0
R05405,2025-01-05,2113,Books,Prepaid,694,2,0.114,0,10,1,30,0
R02410,2025-01-05,1259,Beauty,COD,549,4,0.236,0,1,1,70,1
R01744,2025-01-05,754,Clothing,Prepaid,793,9,0.079,0,3,2,5,1
R01399,2025-01-05,2232,Clothing,Prepaid,757,4,0.089,0,4,1,5,0
R00170,2025-01-05,1274,Home,COD,222,4,0.174,0,2,1,0,0
R05774,2025-01-05,1550,Beauty,COD,503,4,0.369,1,5,1,10,1
R00369,2025-01-05,1604,Clothing,Prepaid,12,3,0.236,1,6,2,20,0
R00429,2025-01-05,883,Books,Prepaid,883,4,0.068,0,3,1,0,0
R04260,2025-01-05,287,Clothing,Prepaid,862,4,0.047,0,10,2,20,0
R03805,2025-01-05,822,Beauty,Prepaid,535,5,0.483,1,10,1,20,0
R04076,2025-01-05,1148,Electronics,Prepaid,698,5,0.156,1,1,1,5,0
R03997,2025-01-05,280,Home,Prepaid,244,12,0.059,0,9,1,0,0
R02329,2025-01-05,355,Electronics,Prepaid,484,3,0.302,0,3,2,50,0
R01783,2025-01-05,568,Books,COD,467,5,0.238,0,4,1,20,0
R04645,2025-01-05,1068,Home,COD,509,8,0.121,0,10,1,5,0
R02469,2025-01-05,523,Electronics,Prepaid,351,13,0.049,0,12,1,30,0
R00454,2025-01-05,625,Clothing,Prepaid,178,14,0.414,1,2,1,10,0
R02636,2025-01-05,475,Home,Prepaid,144,3,0.28,0,11,2,0,0
R04913,2025-01-05,598,Electronics,Prepaid,560,3,0.309,0,4,1,20,0
R02223,2025-01-05,3117,Clothing,COD,818,7,0.151,0,8,1,30,1
R03309,2025-01-05,554,Electronics,Prepaid,793,4,0.547,0,4,1,5,0
R03119,2025-01-05,966,Beauty,COD,507,7,0.085,0,4,2,0,0
R05114,2025-01-05,3296,Home,COD,299,4,0.276,0,9,1,20,1
R00821,2025-01-05,369,Beauty,Prepaid,102,6,0.033,1,1,1,70,0
R03947,2025-01-05,1685,Home,COD,44,7,0.128,0,10,1,30,0
R05162,2025-01-05,1753,Electronics,Prepaid,63,4,0.256,0,12,1,20,0
R05529,2025-01-05,640,Beauty,COD,303,7,0.044,0,7,1,20,0
R01180,2025-01-05,1098,Beauty,Prepaid,32,6,0.123,0,3,1,50,0
R02138,2025-01-05,1455,Clothing,Prepaid,663,2,0.272,0,4,1,50,0
R02261,2025-01-05,2045,Home,Prepaid,654,7,0.556,1,2,1,0,0
R02712,2025-01-05,778,Electronics,COD,87,9,0.217,0,5,2,10,1
R04700,2025-01-05,1205,Home,COD,237,3,0.428,0,5,1,0,0
R05210,2025-01-06,1089,Books,COD,190,7,0.118,0,11,3,0,0
R01536,2025-01-06,1419,Clothing,COD,134,5,0.098,0,5,1,5,0
R03682,2025-01-06,825,Beauty,COD,189,4,0.211,0,11,1,70,1
R05630,2025-01-06,6230,Beauty,Prepaid,495,6,0.134,0,6,1,50,0
R05396,2025-01-06,5101,Electronics,COD,109,7,0.115,0,12,1,70,0
R02951,2025-01-06,2071,Electronics,Prepaid,700,5,0.058,0,7,2,10,0
R04244,2025-01-06,2264,Beauty,COD,444,2,0.219,1,3,2,5,0
R01590,2025-01-06,863,Beauty,Prepaid,531,3,0.295,0,11,1,5,1
R05120,2025-01-06,665,Home,COD,209,4,0.042,0,3,1,10,0
R04036,2025-01-06,5307,Home,Prepaid,300,7,0.129,0,8,2,20,0
R04160,2025-01-06,1607,Clothing,COD,260,6,0.45,0,3,2,0,0
R05429,2025-01-06,2705,Books,COD,585,6,0.215,0,3,2,0,0
R00385,2025-01-06,923,Clothing,Prepaid,281,4,0.227,0,11,1,50,0
R01493,2025-01-06,766,Books,Prepaid,506,4,0.169,0,9,1,70,0
R05500,2025-01-06,2319,Clothing,Prepaid,975,4,0.421,0,10,3,5,0
R00830,2025-01-06,403,Home,Prepaid,823,6,0.195,1,4,1,0,0
R02263,2025-01-06,1038,Clothing,Prepaid,78,3,0.127,0,8,4,0,0
R03537,2025-01-06,389,Clothing,COD,408,3,0.166,0,2,1,0,0
R01300,2025-01-06,4838,Home,Prepaid,834,11,0.046,0,3,2,20,0
R00138,2025-01-06,1334,Clothing,Prepaid,731,4,0.314,0,11,1,0,0
R04642,2025-01-06,636,Books,Prepaid,870,9,0.115,0,4,1,20,0
R02499,2025-01-06,3630,Clothing,Prepaid,596,5,0.165,0,3,1,5,1
R01944,2025-01-06,515,Books,Prepaid,826,6,0.226,0,3,2,5,0
R04535,2025-01-06,150,Clothing,Prepaid,840,10,0.364,0,2,1,5,1
R00787,2025-01-06,597,Books,COD,180,2,0.215,1,3,1,0,0
R03458,2025-01-06,2250,Home,COD,813,6,0.088,0,6,3,20,0
R04531,2025-01-06,150,Clothing,Prepaid,993,5,0.086,0,4,1,5,0
R02559,2025-01-06,1394,Home,Prepaid,823,7,0.039,1,8,2,20,0
R04715,2025-01-06,2205,Clothing,Prepaid,688,6,0.134,1,2,1,10,0
R01869,2025-01-06,4870,Electronics,Prepaid,317,5,0.06,0,11,1,0,0
R02630,2025-01-07,475,Clothing,Prepaid,643,3,0.328,0,4,3,5,0
R05740,2025-01-07,1460,Home,Prepaid,808,3,0.171,0,4,2,0,0
R03320,2025-01-07,1316,Home,Prepaid,931,4,0.077,0,9,2,10,0
R00970,2025-01-07,753,Clothing,Prepaid,131,4,0.329,0,5,1,20,0
R00147,2025-01-07,2384,Home,COD,437,12,0.316,0,7,2,10,0
R00663,2025-01-07,1874,Beauty,COD,432,7,0.275,0,4,1,70,0
R02764,2025-01-07,825,Books,COD,60,6,0.018,0,5,1,5,0
R04003,2025-01-07,717,Home,Prepaid,623,8,0.145,0,6,1,10,0
R01266,2025-01-07,1003,Electronics,COD,437,6,0.05,0,7,2,30,0
R00844,2025-01-07,5251,Home,Prepaid,646,5,0.23,0,8,1,0,0
R02322,2025-01-07,565,Home,COD,967,9,0.391,0,8,1,10,0
R05467,2025-01-07,7273,Electronics,COD,642,7,0.214,0,11,2,20,1
R00328,2025-01-07,341,Beauty,COD,909,10,0.101,0,3,1,50,0
R04552,2025-01-07,5402,Home,Prepaid,675,5,0.32,0,11,2,20,0
R05069,2025-01-07,377,Clothing,Prepaid,559,3,0.372,0,3,2,0,0
R03240,2025-01-07,1442,Home,Prepaid,816,3,0.096,0,10,1,50,0
R03633,2025-01-07,1405,Beauty,Prepaid,454,9,0.449,0,9,1,5,0
R01683,2025-01-07,1350,Beauty,Prepaid,150,7,0.224,0,3,2,70,0
R05503,2025-01-07,590,Clothing,Prepaid,645,11,0.255,0,7,2,0,0
R04945,2025-01-07,2204,Home,COD,39,8,0.323,1,8,2,0,1
R01909,2025-01-07,539,Home,Prepaid,703,9,0.089,0,3,3,70,0
R01446,2025-01-07,2110,Electronics,COD,498,3,0.219,0,9,1,0,0
R02866,2025-01-07,235,Clothing,Prepaid,826,2,0.223,0,12,2,0,0
R03545,2025-01-07,2149,Clothing,COD,888,5,0.05,1,8,2,20,0
R04299,2025-01-07,858,Books,Prepaid,276,6,0.238,0,1,4,5,0
R00117,2025-01-07,400,Clothing,COD,588,10,0.121,0,9,1,10,0
R04969,2025-01-07,1355,Clothing,COD,418,6,0.157,0,5,1,20,0
R05838,2025-01-07,5821,Home,COD,747,10,0.396,0,7,1,0,0
R04275,2025-01-07,1331,Home,Prepaid,283,5,0.159,0,1,2,70,0
R03755,2025-01-07,745,Electronics,Prepaid,794,6,0.432,0,6,2,0,1
R04304,2025-01-07,2108,Electronics,Prepaid,470,5,0.232,0,11,1,0,1
R05002,2025-01-07,2572,Beauty,Prepaid,977,7,0.107,0,5,3,5,0
R03880,2025-01-08,775,Clothing,COD,926,3,0.164,0,12,2,30,0
R02522,2025-01-08,1453,Clothing,COD,696,5,0.088,1,12,1,20,0
R02728,2025-01-08,213,Clothing,Prepaid,429,4,0.011,0,7,1,50,0
R02038,2025-01-08,927,Clothing,Prepaid,308,5,0.294,0,3,1,5,0
R01871,2025-01-08,870,Electronics,Prepaid,276,6,0.351,0,6,1,20,0
R02371,2025-01-08,1474,Clothing,COD,472,3,0.108,1,11,1,0,0
R02772,2025-01-08,952,Beauty,Prepaid,753,11,0.143,1,10,1,20,1
R02203,2025-01-08,2417,Clothing,Prepaid,802,9,0.399,1,12,2,20,0
R02881,2025-01-08,733,Clothing,Prepaid,982,5,0.375,0,9,2,30,0
R02339,2025-01-08,1070,Beauty,Prepaid,804,9,0.075,0,9,1,20,0
R00250,2025-01-08,517,Electronics,Prepaid,949,8,0.023,0,5,1,0,0
R04236,2025-01-08,6037,Beauty,COD,210,3,0.167,1,7,2,30,1
R00817,2025-01-08,2214,Electronics,COD,60,6,0.055,0,6,1,10,0
R04320,2025-01-08,852,Clothing,COD,537,4,0.04,0,6,1,20,0
R01452,2025-01-08,2469,Books,Prepaid,352,2,0.197,0,9,1,5,0
R00902,2025-01-08,599,Beauty,COD,411,10,0.333,0,12,3,20,1
R04751,2025-01-08,7260,Beauty,Prepaid,540,5,0.199,1,10,1,0,0
R05134,2025-01-08,4396,Beauty,Prepaid,932,8,0.264,0,9,1,0,0
R04458,2025-01-08,333,Beauty,Prepaid,538,8,0.3,0,12,1,10,0
R00870,2025-01-08,529,Electronics,Prepaid,811,7,0.061,0,12,2,30,0
R00056,2025-01-08,4562,Electronics,Prepaid,49,5,0.263,0,8,3,30,0
R01099,2025-01-08,945,Home,COD,186,3,0.253,0,5,2,0,0
R04194,2025-01-08,886,Electronics,COD,725,7,0.069,0,6,3,30,0
R01019,2025-01-08,430,Clothing,COD,991,9,0.37,0,8,1,0,0
R00811,2025-01-08,392,Home,COD,241,8,0.312,0,2,1,20,0
R01240,2025-01-08,4449,Home,COD,355,4,0.117,1,5,1,5,1
R04596,2025-01-08,369,Beauty,Prepaid,137,5,0.106,0,2,3,10,0
R05628,2025-01-08,1093,Books,Prepaid,197,7,0.282,0,10,1,10,0
R04092,2025-01-08,2094,Home,Prepaid,290,7,0.081,0,5,1,10,0
R04592,2025-01-08,1153,Books,Prepaid,981,4,0.5,0,2,2,0,0
R00562,2025-01-08,471,Electronics,COD,807,7,0.135,1,12,1,0,0
R04189,2025-01-08,190,Clothing,COD,883,2,0.137,0,11,1,20,0
R04776,2025-01-09,1733,Electronics,COD,882,6,0.115,0,11,1,20,0
R01110,2025-01-09,1693,Electronics,COD,761,6,0.187,0,9,1,50,0
R03363,2025-01-09,3880,Electronics,COD,636,3,0.107,0,6,1,0,0
R01270,2025-01-09,2627,Beauty,COD,445,7,0.138,0,7,1,0,1
R04770,2025-01-09,2340,Home,COD,897,4,0.474,0,3,1,20,0
R01526,2025-01-09,1653,Electronics,COD,18,5,0.147,0,11,3,10,0
R05055,2025-01-09,2337,Books,COD,30,3,0.085,0,5,1,20,0
R02884,2025-01-09,1514,Books,Prepaid,359,4,0.294,0,3,1,10,0
R01806,2025-01-09,593,Home,Prepaid,932,5,0.401,0,11,1,10,0
R05093,2025-01-09,1060,Clothing,Prepaid,843,5,0.218,0,1,2,20,0
R02780,2025-01-09,285,Clothing,Prepaid,693,8,0.035,0,8,3,0,0
R00397,2025-01-09,425,Clothing,Prepaid,687,3,0.35,0,12,2,30,0
R05548,2025-01-09,770,Electronics,COD,110,6,0.141,0,3,3,30,0
R00352,2025-01-09,2530,Clothing,Prepaid,645,4,0.329,0,10,1,10,0
R05622,2025-01-09,1499,Home,Prepaid,568,3,0.049,0,10,1,10,0
R05680,2025-01-09,383,Home,Prepaid,813,3,0.084,0,4,1,0,0
R02412,2025-01-09,756,Beauty,COD,339,8,0.182,0,9,2,5,0
R03013,2025-01-09,754,Clothing,Prepaid,671,5,0.152,0,4,2,5,0
R01286,2025-01-09,985,Clothing,COD,941,7,0.072,0,9,1,5,0
R04894,2025-01-09,2398,Clothing,Prepaid,535,6,0.246,0,10,1,0,0
R00574,2025-01-09,666,Electronics,Prepaid,246,7,0.268,0,12,1,0,0
R04127,2025-01-09,3764,Clothing,Prepaid,117,5,0.342,0,1,1,20,0
R03852,2025-01-09,676,Electronics,Prepaid,354,5,0.197,0,2,2,70,0
R04269,2025-01-09,1003,Books,COD,781,11,0.045,0,3,2,0,0
R01781,2025-01-09,767,Clothing,Prepaid,280,8,0.396,0,4,2,0,0
R01463,2025-01-09,2566,Clothing,COD,949,12,0.196,0,5,2,30,0
R01518,2025-01-09,367,Clothing,Prepaid,460,3,0.341,0,8,1,0,0
R03871,2025-01-09,1236,Home,Prepaid,772,10,0.094,0,12,1,5,0
R04347,2025-01-09,657,Clothing,Prepaid,79,5,0.151,0,6,1,20,0
R04022,2025-01-09,2867,Books,COD,477,6,0.43,0,3,1,50,0
R04329,2025-01-09,1429,Clothing,COD,253,8,0.325,0,9,1,30,0
R04551,2025-01-09,1183,Beauty,COD,938,6,0.566,0,10,1,20,0
R01267,2025-01-10,738,Electronics,Prepaid,558,6,0.066,0,8,1,10,0
R01976,2025-01-10,235,Electronics,COD,194,4,0.138,0,3,1,0,0
R05012,2025-01-10,1312,Home,COD,860,9,0.149,0,11,1,20,0
R02972,2025-01-10,2329,Clothing,COD,291,5,0.165,0,12,3,30,1
R03452,2025-01-10,904,Clothing,Prepaid,904,9,0.095,0,6,1,0,0
R01453,2025-01-10,245,Home,Prepaid,72,5,0.189,1,2,3,50,0
R01983,2025-01-10,3324,Clothing,COD,22,8,0.442,0,8,1,10,0
R00699,2025-01-10,828,Clothing,COD,549,9,0.408,0,3,3,0,0
R01642,2025-01-10,983,Clothing,Prepaid,229,5,0.13,0,8,1,50,0
R05991,2025-01-10,2274,Beauty,Prepaid,688,9,0.141,0,5,1,0,0
R02314,2025-01-10,1594,Home,COD,479,5,0.17,0,3,3,20,0
R00898,2025-01-10,1074,Electronics,Prepaid,345,6,0.106,0,8,1,0,1
R05219,2025-01-10,913,Electronics,Prepaid,998,10,0.358,0,4,1,5,0
R00887,2025-01-10,2469,Books,Prepaid,366,10,0.195,1,7,2,20,0
R00848,2025-01-10,3234,Home,COD,568,2,0.065,0,9,2,10,0
